pilot_mmsi,vessel_mmsi,start_time,end_time,duration_minutes,num_observations,min_distance,max_distance,avg_distance,start_lat,start_lon,end_lat,end_lon,course_aligned_observations,speed_similar_observations,stationary_observations,avg_course_difference,avg_speed_difference,course_alignment_ratio,speed_similarity_ratio,primary_validation_reason
440200060.0,440114740.0,2023-06-07 09:58:51,2023-06-07 09:59:51,1.0,3,20.44207596122039,87.05934500253291,49.88747120006241,35.0778,128.784366666667,35.0777833333333,128.78435,0,0,3,123.16666666666667,1.8999999999999997,0.0,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 00:27:00,2023-06-07 00:32:50,5.833333333333333,3,66.65258669351094,69.99234724197669,67.93858336971647,35.0777666666667,128.78435,35.0777666666667,128.784333333333,0,0,3,113.73333333333335,0.0,0.0,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 00:58:30,2023-06-07 01:01:20,2.8333333333333335,2,64.48552105776817,67.94662441648272,66.21607273712544,35.0778,128.78435,35.0777833333333,128.7843,1,0,2,31.200000000000017,0.0,0.5,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 01:25:50,2023-06-07 01:31:10,5.333333333333333,6,63.23710192773776,66.92899912521256,65.06802507629799,35.0778166666667,128.784316666667,35.0778,128.784333333333,2,0,6,44.80000000000001,0.0,0.3333333333333333,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 01:37:49,2023-06-07 01:40:20,2.5166666666666666,3,65.7676738745169,68.29845415510364,67.33295608021162,35.0778166666667,128.784333333333,35.0778,128.784316666667,2,0,3,41.93333333333334,0.0,0.6666666666666666,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 01:51:10,2023-06-07 01:52:10,1.0,3,64.82242360054133,66.0816204936724,65.51070518771958,35.0778,128.78435,35.0778,128.78435,2,0,3,32.5,0.0,0.6666666666666666,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 03:05:50,2023-06-07 03:22:00,16.166666666666668,6,62.4196684324277,70.51481571913119,66.50649918796569,35.0777666666667,128.784333333333,35.0777666666667,128.78435,6,0,6,9.300000000000011,0.0,1.0,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 03:33:30,2023-06-07 03:36:30,3.0,3,65.85688959456797,68.37710429956095,67.4811820475672,35.0777666666667,128.784333333333,35.0777666666667,128.784366666667,3,0,3,9.300000000000011,0.0,1.0,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 05:52:09,2023-06-07 05:55:40,3.5166666666666666,3,66.37506308364044,69.36113299562116,67.63411933062825,35.07775,128.78435,35.0777666666667,128.78435,0,0,3,149.06666666666663,0.03333333333333333,0.0,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 06:02:50,2023-06-07 06:04:50,2.0,2,65.10974078278817,66.04993793127963,65.5798393570339,35.0777666666667,128.784333333333,35.0777666666667,128.78435,0,0,2,135.15,0.0,0.0,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 06:46:50,2023-06-07 06:50:30,3.6666666666666665,2,66.71310948268686,67.97173232426421,67.34242090347553,35.0777666666667,128.78435,35.07775,128.784333333333,1,0,2,17.5,0.1,0.5,0.0,stationary_vessel
440200060.0,440320000.0,2023-06-07 18:37:14,2023-06-07 18:38:14,1.0,2,68.81288866219946,69.65749781529526,69.23519323874736,35.0781333333333,128.783833333333,35.0777666666667,128.7843,1,0,2,24.000000000000007,3.5500000000000003,0.5,0.0,stationary_vessel
440313250.0,354307000.0,2023-06-07 09:43:11,2023-06-07 09:46:51,3.6666666666666665,3,36.30869442110042,54.84156622314666,48.07029688446742,35.077925,128.782071666667,35.077795,128.782323333333,0,0,3,60.86666666666665,1.2666666666666666,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 00:49:16,2023-06-07 00:50:46,1.5,2,62.32160699321471,65.23018995264616,63.775898472930436,35.0779,128.782368333333,35.07788,128.782391666667,2,0,2,4.400000000000006,0.0,1.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 10:47:30,2023-06-07 10:53:19,5.816666666666666,3,61.018129193706066,62.43244642891038,61.911161243977084,35.0778983333333,128.782391666667,35.0778983333333,128.782401666667,0,0,3,152.8,0.03333333333333333,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 11:08:40,2023-06-07 11:09:50,1.1666666666666667,2,62.08996605049347,62.91698533058477,62.50347569053912,35.0778883333333,128.782376666667,35.0779033333333,128.782388333333,0,0,2,152.8,0.05,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 11:21:21,2023-06-07 11:27:40,6.316666666666666,4,62.05393638294803,63.48306747438142,63.004778061746094,35.0779016666667,128.782378333333,35.0779,128.782391666667,0,0,4,152.8,0.07500000000000001,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 12:07:50,2023-06-07 12:10:50,3.0,2,62.33225882171463,63.68752378198805,63.00989130185134,35.0779433333333,128.782396666667,35.0779116666667,128.782393333333,0,0,2,152.8,0.05,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 12:20:50,2023-06-07 12:22:10,1.3333333333333333,2,61.56766213817078,61.612566036092666,61.590114087131724,35.0779016666667,128.782375,35.0778833333333,128.782375,0,0,2,152.8,0.05,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 12:44:10,2023-06-07 12:46:40,2.5,3,61.03731086319818,63.39752197745663,62.10454010792836,35.077905,128.782373333333,35.0778983333333,128.782395,0,0,3,152.8,0.03333333333333333,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 13:09:00,2023-06-07 13:11:00,2.0,2,61.794361147510635,64.37838965220541,63.08637539985803,35.0778983333333,128.782395,35.0779033333333,128.782385,0,0,2,175.70000000000002,0.05,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 13:31:41,2023-06-07 13:35:11,3.5,2,62.43244525093401,63.46804767964771,62.95024646529086,35.0779,128.782395,35.0779016666667,128.782385,0,0,2,176.10000000000002,0.15000000000000002,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 14:45:11,2023-06-07 14:48:11,3.0,4,61.14784349297232,63.39750979059402,62.46130022477925,35.0779066666667,128.782373333333,35.077915,128.782391666667,0,0,4,176.10000000000002,0.05,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 16:33:04,2023-06-07 16:35:32,2.466666666666667,2,61.96786409707571,63.65109027154082,62.809477184308264,35.0779016666667,128.782386666667,35.0779033333333,128.7824,0,0,2,93.0,0.0,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 17:15:23,2023-06-07 17:23:52,8.483333333333333,6,62.46926534715236,64.15225731147055,63.305141986306126,35.077895,128.782403333333,35.0778533333333,128.782431666667,0,0,6,93.0,0.05000000000000001,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 17:29:43,2023-06-07 17:37:13,7.5,5,62.3327449514941,65.86853152002757,64.3061592153963,35.077885,128.78242,35.0778816666667,128.782406666667,0,0,5,93.0,0.0,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 17:50:02,2023-06-07 17:52:43,2.683333333333333,3,63.778048163763174,65.89868770785534,64.73357802303697,35.0778766666667,128.782406666667,35.0778866666667,128.782408333333,0,0,3,93.0,0.03333333333333333,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 18:26:44,2023-06-07 18:30:14,3.5,5,56.822587999513374,65.94043819215271,63.55346284751924,35.0778816666667,128.782401666667,35.078055,128.782233333333,0,0,5,80.7,0.9799999999999999,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 20:04:55,2023-06-07 20:07:55,3.0,2,62.97253229895007,64.98895268437437,63.98074249166222,35.0777883333333,128.782401666667,35.07779,128.782418333333,0,0,2,149.8,0.05,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 22:24:27,2023-06-07 22:29:47,5.333333333333333,4,62.31374866009179,66.66437463335042,64.57721508364921,35.0778066666667,128.782406666667,35.077785,128.78244,0,0,4,177.2,0.025,0.0,0.0,stationary_vessel
440313260.0,354307000.0,2023-06-07 22:38:17,2023-06-07 22:39:37,1.3333333333333333,2,63.13950067974553,63.15445201945964,63.14697634960258,35.0777783333333,128.782403333333,35.0777866666667,128.782413333333,0,0,2,177.2,0.0,0.0,0.0,stationary_vessel
